Edge 	Weight
HRE - BUQ 	348.563 
OAK - BUR 	523.409 
TBS - BUS 	278.86 
UPG - BUW 	337.164 
IRP - BUX 	324.414 
SYZ - BUZ 	182.671 
KIV - BVA 	1996.91 
MAO - BVB 	657.715 
SID - BVC 	67.5706 
AJA - BVE 	684.156 
HFT - BVG 	197.538 
CGB - BVH 	540.767 
BEU - BVI 	172.876 
BEL - BVS 	220.541 
KTM - BWA 	192.616 
JFK - BWI 	295.361 
ZAG - BWK 	277.486 
BKK - BWN 	1832.97 
MEL - BWT 	377.587 
SOQ - BXB 	300.647 
THR - BXR 	993.579 
MNL - BXU 	785.664 
TJA - BYC 	117.386 
ULN - BYN 	496.078 
VCP - BYO 	979.352 
CUN - BZE 	416.879 
STN - BZG 	1205.66 
DAC - BZL 	116.322 
MSP - BZN 	1402.31 
FCO - BZO 	523.242 
BVA - BZR 	688.311 
FIH - BZV 	25.952 
LAD - CAB 	380.451 
GRU - CAC 	733.499 
PHL - CAE 	841.243 
BRI - CAG 	687.084 
SGN - CAH 	243.641 
LCA - CAI 	567.986 
PZO - CAJ 	228.912 
DTW - CAK 	214.605 
GLA - CAL 	92.2938 
URC - CAN 	3277.82 
PAP - CAP 	128.619 
VIX - CAW 	191.725 
ORY - CAY 	7086.22 
VVI - CBB 	323.463 
ORN - CBH 	467.924 
MNL - CBO 	887.655 
ABV - CBQ 	463.888 
ADL - CBR 	970.205 
LAD - CBT 	403.586 
MAN - CCC 	7108.62 
CRL - CCF 	821.709 
BOM - CCJ 	944.171 
XCH - CCK 	984.664 
FLN - CCM 	144.88 
SCL - CCP 	429.112 
CDG - CCS 	7632.5 
DEL - CCU 	1312.68 
VLI - CCV 	164.953 
ANC - CDB 	995.465 
SLC - CDC 	356.608 
VIE - CDG 	1035.09 
RDC - CDJ 	82.4755 
DEN - CDR 	356.139 
YAK - CDV 	341.517 
HKG - CEB 	1711.4 
ACV - CEC 	89.8265 
ADL - CED 	545.4 
DME - CEE 	429.797 
BRS - CEG 	200.413 
KMG - CEI 	652.442 
KZN - CEK 	770.509 
FAI - CEM 	166.313 
HMO - CEN 	223.684 
DEN - CEZ 	446.158 
SDU - CFB 	111.521 
CWB - CFC 	224.99 
LYS - CFE 	148.485 
MRS - CFK 	869.235 
DUB - CFN 	225.104 
ORY - CFR 	212.581 
SYD - CFS 	442.526 
SKG - CFU 	279.619 
BSB - CGB 	877.349 
XIY - CGD 	672.618 
GIG - CGH 	359.664 
STL - CGI 	183.301 
KUL - CGK 	1129 
CEB - CGM 	141.77 
VIE - CGN 	745.989 
URC - CGO 	2485.61 
DAC - CGP 	228.869 
HET - CGQ 	1188.57 
BSB - CGR 	877.486 
ILO - CGY 	327.516 
DCA - CHA 	840.206 
SIN - CHC 	8403.25 
PEK - CHG 	362.272 
PHL - CHO 	337.849 
ATH - CHQ 	268.015 
JFK - CHS 	1025.01 
ANI - CHU 	17.307 
BOC - CHX 	31.8261 
HIR - CHY 	503.43 
BRI - CIA 	354.731 
SFO - CIC 	246.126 
ORD - CID 	314.989 
HET - CIF 	609.099 
TYN - CIH 	172.491 
CBB - CIJ 	763.009 
FAI - CIK 	277.006 
LUN - CIP 	486.864 
SCO - CIT 	1498.64 
DTW - CIU 	457.801 
LIM - CIX 	653.707 
CIA - CIY 	561.505 
MAO - CIZ 	363.163 
LIM - CJA 	563.466 
BOM - CJB 	1001.79 
ANF - CJC 	189.674 
PEK - CJJ 	1021.07 
PEW - CJL 	212.067 
DMK - CJM 	380.813 
CUU - CJS 	329.192 
PEK - CJU 	1144.05 
IAD - CKB 	242.332 
URC - CKG 	2313.15 
YKS - CKH 	1236.38 
MAB - CKS 	126.563 
BKO - CKY 	699.849 
ESB - CKZ 	558.273 
LAX - CLD 	138.299 
YYZ - CLE 	310.637 
OTP - CLJ 	308.745 
DFW - CLL 	264.458 
BOG - CLO 	279.312 
MEX - CLQ 	472.925 
JFK - CLT 	870.529 
VCP - CLV 	607.063 
SZG - CLY 	672.264 
SGO - CMA 	291.781 
KHI - CMB 	2390.51 
IAH - CME 	1309.79 
CGR - CMG 	353.186 
YYZ - CMH 	490.176 
ORD - CMI 	217.914 
IST - CMN 	3305.37 
CDJ - CMP 	156.223 
POM - CMU 	453.793 
YUL - CMW 	2700.36 
ORD - CMX 	578.927 
IST - CND 	343.923 
FOR - CNF 	1858.41 
ISA - CNJ 	105.601 
ABQ - CNM 	370.684 
HKG - CNS 	5568.02 
RGN - CNX 	363.917 
SLC - CNY 	295.304 
DEN - COD 	629.719 
BOM - COK 	1063.81 
LOS - COO 	106.361 
NZH - COQ 	252.726 
GRU - COR 	1954.94 
DEN - COS 	117.435 
ORD - COU 	506.828 
AEP - CPC 	1279.56 
ADL - CPD 	748.313 
MEX - CPE 	898.665 
VNO - CPH 	809.243 
CJC - CPO 	562.371 
DEN - CPR 	370.2 
GBE - CPT 	1263.38 
PNZ - CPV 	564.287 
SJU - CPX 	74.9249 
BGY - CRA 	1123.98 
REL - CRD 	335.055 
NAS - CRI 	420.073 
HKG - CRK 	1056.39 
BUD - CRL 	1130.42 
MNL - CRM 	450.106 
IAH - CRP 	323.759 
IAD - CRW 	364.791 
ATL - CSG 	133.364 
ARH - CSH 	240.527 
DKR - CSK 	272.746 
URC - CSX 	2879.78 
DME - CSY 	595.195 
BRI - CTA 	433.534 
AEP - CTC 	959.989 
JFK - CTG 	3362.12 
ULP - CTL 	201.114 
MEX - CTM 	1134.47 
UUS - CTS 	464.489 
URC - CTU 	2071.5 
MDE - CUC 	376.381 
UIO - CUE 	314.741 
OTP - CUF 	1459.59 
MTY - CUL 	749.297 
CCS - CUM 	313.197 
MCO - CUN 	995.613 
CNS - CUQ 	448.278 
SXM - CUR 	904.151 
DFW - CUU 	971.29 
LPB - CUZ 	521.019 
YYZ - CVG 	664.246 
MEX - CVM 	474.619 
FLW - CVU 	24.0889 
ORD - CWA 	342.244 
GRU - CWB 	359.1 
DUS - CWL 	701.778 
DAC - CXB 	310.673 
HNL - CXI 	2150.79 
CWB - CXJ 	453.705 
SGN - CXR 	309.001 
MIA - CYB 	680.263 
BET - CYF 	151.39 
HAV - CYO 	176.584 
MNL - CYP 	467.816 
DEN - CYS 	144.366 
YKS - CYX 	1611.86 
MNL - CYZ 	280.433 
CCS - CZE 	307.2 
IST - CZL 	1991.2 
CUN - CZM 	57.3874 
RBR - CZS 	591.829 
BOG - CZU 	530.064 
TYN - CZX 	919.103 
CLT - DAB 	671.049 
DEL - DAC 	1425.41 
KMG - DAD 	1146.53 
STL - DAL 	878.336 
ADD - DAR 	1763.67 
TYN - DAT 	267.639 
POM - DAU 	442.074 
SJO - DAV 	263.957 
KMG - DAX 	802.348 
CLE - DAY 	260.981 
TUK - DBA 	348.808 
BHQ - DBO 	669.311 
ORD - DBQ 	235.805 
ATH - DBV 	704.329 
JFK - DCA 	342.218 
AJA - DCM 	561.893 
PER - DCN 	1781.48 
CTU - DCY 	400.238 
DEN - DDC 	469.787 
PEK - DDG 	655.294 
KHI - DEA 	650.72 
EIN - DEB 	1250.25 
ORD - DEC 	251.702 
DEL - DED 	208.494 
UUS - DEE 	399.574 
THR - DEF 	450.641 
DYU - DEL 	1347.35 
KEF - DEN 	5726.98 
ORD - DFW 	1290.65 
IAH - DGO 	1118.28 
MNL - DGT 	626.574 
KTM - DHI 	482.521 
DEL - DHM 	408.17 
ATL - DHN 	274.708 
DEL - DIB 	1760.83 
DZA - DIE 	438.186 
LXA - DIG 	872.125 
TLS - DIJ 	498.16 
MSP - DIK 	771.529 
SIN - DIL 	2627.96 
HAN - DIN 	290.614 
JIB - DIR 	257.015 
BOM - DIU 	272.126 
ESB - DIY 	670.074 
BTH - DJB 	311.305 
TIP - DJE 	259.317 
ALG - DJG 	1501.59 
MKW - DJJ 	742.766 
IST - DKR 	5325.47 
IST - DLA 	4557.97 
PEK - DLC 	442.546 
OPO - DLE 	1294.83 
ANC - DLG 	527.103 
MSP - DLH 	232.034 
SGN - DLI 	213.762 
IST - DLM 	507.303 
CTU - DLU 	653.341 
VLI - DLY 	139.036 
ULN - DLZ 	506.292 
ALA - DMB 	468.951 
ISA - DMD 	310.832 
AER - DME 	1337.86 
RGN - DMK 	583.79 
BAH - DMM 	86.1855 
CCU - DMU 	648.131 
STN - DND 	550.3 
URC - DNH 	734.722 
EVN - DNK 	1173.58 
GCI - DNR 	101.617 
IST - DNZ 	396.477 
LUV - DOB 	164.322 
IKA - DOH 	1128.7 
KBP - DOK 	557.415 
LCY - DOL 	238.06 
PTP - DOM 	83.6295 
CGR - DOU 	194.512 
PEK - DOY 	343.792 
MNL - DPL 	703.766 
MEL - DPO 	411.966 
KUL - DPS 	1964.37 
PEK - DQA 	1012.24 
OTZ - DRG 	90.9368 
SJO - DRK 	154.822 
DEN - DRO 	403.293 
MUC - DRS 	340.191 
MLE - DRV 	115.978 
KUL - DRW 	3636.11 
VNO - DSA 	1711.03 
PEW - DSK 	238.849 
ORD - DSM 	480.108 
URC - DSN 	1915.87 
BUD - DTM 	955.066 
YYZ - DTW 	343.974 
KIV - DUB 	2579.27 
BNE - DUD 	2552.05 
CLE - DUJ 	247.894 
MPM - DUR 	434.865 
FRA - DUS 	188.868 
ILO - DVO 	538.336 
DOH - DWC 	360.278 
RUH - DWD 	266.429 
EVN - DXB 	1944.76 
CKG - DYG 	374.487 
DME - DYR 	6226.02 
AER - DYU 	2470.16 
HAH - DZA 	260.128 
TSE - DZN 	456.906 
VLI - EAE 	67.7618 
JED - EAM 	712.859 
BCN - EAS 	391.856 
SEA - EAT 	158.229 
ORD - EAU 	431.927 
MUC - EBA 	633.482 
ASM - EBB 	1838.49 
ALG - EBH 	382.355 
BLL - EBJ 	44.4863 
ADA - EBL 	779.141 
SAW - EBU 	2082.17 
ADA - ECN 	258.857 
BWI - ECP 	1285.58 
CPH - EDI 	1000.64 
NBO - EDL 	268.326 
SAW - EDO 	245.564 
CNS - EDR 	495.473 
BET - EEK 	63.9521 
ATH - EFL 	302.33 
PGX - EGC 	47.5742 
DEN - EGE 	193.457 
HIR - EGM 	257.257 
KRT - EGN 	1110.47 
KRR - EGO 	652.652 
RKV - EGS 	380.16 
AKN - EGX 	69.0684 
BUD - EIN 	1096.82 
SXM - EIS 	157.965 
BOG - EJA 	261.002 
JED - EJH 	571.509 
SLC - EKO 	321.008 
UUS - EKS 	260.242 
MNG - ELC 	145.456 
MEM - ELD 	330.403 
KRT - ELF 	808.141 
OGX - ELG 	285.14 
NAS - ELH 	92.4385 
KKA - ELI 	64.1142 
PHL - ELM 	289.644 
DEN - ELP 	908.657 
RUH - ELQ 	329.12 
JNB - ELS 	767.917 
ALG - ELU 	479.471 
JNU - ELV 	105.062 
BRU - EMA 	452.936 
BNE - EMD 	652.413 
KOT - EMK 	55.6107 
ANC - ENA 	95.076 
LBJ - ENE 	198.917 
WUH - ENH 	455.154 
ABV - ENU 	283.521 
XIY - ENY 	254.074 
BOG - EOH 	232.513 
KOI - EOI 	26.9753 
PER - EPR 	580.501 
AEP - EQS 	1439.31 
ESB - ERC 	558.854 
AYT - ERF 	2217.04 
CLE - ERI 	157.81 
HET - ERL 	286.776 
JCB - ERM 	89.1932 
TFF - ERN 	676.157 
ESB - ERZ 	695.942 
TZX - ESB 	581.86 
DTW - ESC 	491.77 
DME - ESL 	1099.95 
CLO - ESM 	459.675 
MRS - ESU 	1871.86 
TLV - ETH 	272.529 
UIO - ETR 	410.959 
LYS - ETZ 	372.674 
SEA - EUG 	376.222 
CMN - EUN 	877.144 
SXM - EUX 	62.0791 
TRD - EVE 	616.745 
